AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
54,Male,Undergraduate,5th Year Undergraduate,Less than Half-Time,2,SUNY at Buffalo,0,1
47,Female,Undergraduate,5th Year Undergraduate,Less than Half-Time,3,SUNY at Brockport,24,16
31,Female,Undergraduate,Junior,Less than Half-Time,5,Syracuse University,15.92,34
34,Female,Undergraduate,5th Year Undergraduate,Enrolled Half-Time,6,SUNY at Brockport,253.22,192
32,Male,Undergraduate,Junior,Enrolled Half-Time,7,SUNY at Brockport,3.04,16
30,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Business Administration,5.99,8
37,Male,Undergraduate,Junior,Less than Half-Time,1,Syracuse University,349.31,67
43,Female,Graduate,Graduate,Enrolled Full-Time,15,Health Sciences & Human Services,7.07,12
50,Female,Undergraduate,Freshman,Enrolled Half-Time,8,Syracuse University,101.98,51
33,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,72.78,39
30,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Education,42.11,81
30,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,18,SUNY at Buffalo,56.74,86
38,Female,Undergraduate,Freshman,Enrolled Full-Time,12,Syracuse University,17.28,25
40,Male,Graduate,Graduate,Less than Half-Time,1,College of Engineering,0,1
34,Female,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,107.22,78
47,Female,Undergraduate,Senior,Less than Half-Time,5,College of Business Administration,7.28,24
31,Male,Undergraduate,Sophomore,Three Quarter Time,9,Syracuse University,9.15,32
28,Female,Undergraduate,Senior,Three Quarter Time,10,SUNY at Buffalo,9.03,30
29,Female,Graduate,Graduate,Less than Half-Time,3,SUNY at Buffalo,27.44,71
50,Female,Undergraduate,Senior,Enrolled Half-Time,7,SUNY at Buffalo,35.05,61
34,Female,Undergraduate,Senior,Enrolled Full-Time,12,College of Nursing,93.92,32
33,Female,Undergraduate,Senior,Enrolled Full-Time,12,SUNY at Buffalo,97.48,85
29,Female,Graduate,Graduate,Enrolled Full-Time,9,College of Nursing,13.51,36
